Sample,Ground Truth,Prediction,WER
2357,kilo,keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto keto,14900.0
2337,ok three three zero sky travel one two,okay tango hotel romeo echo echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar oscar november echo tango whiskey oscar tango whiskey oscar oscar november echo,8362.5
121,k uniform november,kia ora yankee oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg oneg one,7466.67
929,line up runway three one to wait easy two five eight,bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo bravo uniform hotel bravo yankee echo b,4863.64
1110,seven zero three good bye,seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven seven,4440.0
1090,lufthansa seven three three approaching flight level three hundred,ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a moment ill be back in a,3722.22
2734,lufthansa six hotel xray one three,six three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one three two one,3683.33
659,thomson one zero alfa good evening flight level three six,good evening five level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three six level three,3320.0
852,hotel yankee saint martin six five thousand feet for landing fato,the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the wind is blowing the,3245.45
1714,direct to oscar kilo golf easy eight one six lima thank you,thank you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see you good to see,2958.33
